Country,Leader,Term start date,Term end date,Nth term,Term duration in days
United Kingdom,David William Donald Cameron,11/05/2010,07/05/2015,1,1822
United Kingdom,David William Donald Cameron,07/05/2015,13/07/2016,2,433
United Kingdom,Edward Heath,19/06/1970,04/03/1974,1,1354
United Kingdom,Gordon Brown,27/06/2007,11/05/2010,1,1049
United Kingdom,Harold J. Wilson,04/03/1974,10/10/1974,1,220
United Kingdom,Harold J. Wilson,10/10/1974,05/04/1976,2,543
United Kingdom,John Major,28/11/1990,09/04/1992,1,498
United Kingdom,John Major,09/04/1992,02/05/1997,2,1849
United Kingdom,L. James Callaghan,05/04/1976,04/05/1979,1,1124
United Kingdom,Margaret Thatcher,04/05/1979,09/06/1983,1,1497
United Kingdom,Margaret Thatcher,09/06/1983,11/06/1987,2,1463
United Kingdom,Margaret Thatcher,11/06/1987,28/11/1990,3,1266
United Kingdom,Theresa Mary May,13/07/2016,08/06/2017,1,330
United Kingdom,Theresa Mary May,08/06/2017,24/07/2019,2,776
United Kingdom,Tony Blair,02/05/1997,07/06/2001,1,1497
United Kingdom,Tony Blair,07/06/2001,05/05/2005,2,1428
United Kingdom,Tony Blair,05/05/2005,27/06/2007,3,783
United States,Barack Obama,20/01/2009,20/01/2013,1,1461
United States,Barack Obama,20/01/2013,20/01/2017,2,1461
United States,Donald Trump,21/01/2017,20/01/2021,1,1460
United States,George H. W. Bush,20/01/1989,20/01/1993,1,1461
United States,George W. Bush,21/01/2001,20/01/2005,1,1460
United States,George W. Bush,20/01/2005,20/01/2009,2,1461
United States,Gerald Rudolph Ford Jr,09/08/1974,20/01/1977,1,895
United States,Jimmy Carter,20/01/1977,20/01/1981,1,1461
United States,Richard Milhous Nixon,20/01/1969,20/01/1973,1,1461
United States,Richard Milhous Nixon,20/01/1973,09/08/1974,2,566
United States,Ronald Reagan,20/01/1981,20/01/1985,1,1461
United States,Ronald Reagan,20/01/1985,20/01/1989,2,1461
United States,William Clinton,20/01/1993,20/01/1997,1,1461
United States,William Clinton,20/01/1997,20/01/2001,2,1461
Uruguay,Alberto Demicheli,12/06/1976,01/09/1976,1,81
Uruguay,Aparicio Mendez Manfredini,01/09/1976,01/09/1981,1,1826
Uruguay,Jorge Batlle,02/03/2000,01/03/2005,1,1825
Uruguay,"Jose ""Pepe"" Mujica Cordano",01/03/2010,01/03/2015,1,1826
Uruguay,Juan Maria Bordaberry Arocena,01/03/1972,12/06/1976,1,1564
Uruguay,Julio Maria Sanguinetti,01/03/1985,01/03/1990,1,1826
Uruguay,Julio Maria Sanguinetti,01/03/1995,01/03/2000,1,1827
Uruguay,Luis Alberto Lacalle,01/03/1990,01/03/1995,1,1826
Uruguay,Tabare Vazquez,01/03/2005,01/03/2010,1,1826
Uruguay,Tabare Vazquez,01/03/2015,01/03/2020,1,1827
Venezuela,Carlos Andres Perez,12/03/1974,12/03/1979,1,1826
Venezuela,Carlos Andres Perez,02/02/1989,31/08/1993,1,1671
Venezuela,Hugo Chavez Frias,02/02/1999,10/01/2001,1,708
Venezuela,Hugo Chavez Frias,10/01/2001,10/01/2007,2,2191
Venezuela,Hugo Chavez Frias,10/01/2007,05/03/2012,3,1881
Venezuela,Jaime Lusinchi,02/02/1984,02/02/1989,1,1827
Venezuela,Luis Herrera Campins,12/03/1979,02/02/1984,1,1788
Venezuela,Nicolas Maduro Moros,,05/03/2012,1,
Venezuela,Rafael Caldera Rodriguez,11/03/1969,12/03/1974,1,1827
Venezuela,Rafael Caldera Rodriguez,02/02/1994,02/02/1999,1,1826
